open,high,low,close,volume,date
3600.234,3650.478,3580.58,3625.826,2825335800.0,2008-06-02
3624.572,3641.429,3585.124,3614.111,3473514100.0,2008-06-03
3601.54,3605.058,3513.641,3546.916,2941765300.0,2008-06-04
3529.978,3542.244,3487.792,3512.138,2398927900.0,2008-06-05
3519.116,3532.297,3470.563,3489.502,2094422900.0,2008-06-06
3344.453,3352.321,3188.796,3206.562,3294996100.0,2008-06-10
3155.943,3181.818,3097.395,3140.299,2940973500.0,2008-06-11
3123.64,3148.742,3022.876,3084.633,3145410900.0,2008-06-12
3087.337,3108.988,2975.661,2979.117,2531983700.0,2008-06-13
2981.085,3012.993,2900.075,2952.242,2681379400.0,2008-06-16
2950.399,2977.889,2820.643,2842.676,2646377800.0,2008-06-17
2820.237,3007.18,2759.107,2991.273,4256009500.0,2008-06-18
2967.402,2967.402,2768.225,2773.076,3631903900.0,2008-06-19
2795.465,2946.939,2691.868,2849.668,5167590500.0,2008-06-20
2798.428,2845.479,2771.363,2789.941,2663149300.0,2008-06-23
2775.69,2865.903,2770.987,2851.915,3179245600.0,2008-06-24
2844.922,2973.173,2834.945,2969.537,4242526100.0,2008-06-25
2964.516,3010.278,2922.786,2980.907,4259931200.0,2008-06-26
2886.18,2899.836,2787.252,2816.021,4088655600.0,2008-06-27
2782.844,2834.272,2747.614,2791.819,2529540600.0,2008-06-30
2799.195,2809.381,2690.181,2698.347,2885158500.0,2008-07-01
2702.634,2745.939,2670.064,2699.597,2791636500.0,2008-07-02
2654.479,2807.682,2617.258,2760.612,4566030500.0,2008-07-03
2751.213,2783.847,2716.022,2741.852,3790501000.0,2008-07-04
2747.611,2890.985,2747.611,2882.763,5273202400.0,2008-07-07
2900.571,2939.143,2841.073,2901.841,5424807800.0,2008-07-08
2926.996,3015.271,2926.996,3015.126,6935696800.0,2008-07-09
2970.984,3056.905,2950.2,2973.728,6164955400.0,2008-07-10
2962.861,2988.197,2913.872,2953.498,4428710100.0,2008-07-11
2927.24,2996.592,2917.023,2975.874,3457504300.0,2008-07-14
2987.061,2997.666,2849.199,2852.979,4729275900.0,2008-07-15
2818.763,2824.881,2702.659,2745.596,3940311500.0,2008-07-16
2790.259,2812.992,2705.809,2718.068,3268733500.0,2008-07-17
2746.536,2818.064,2690.069,2815.462,4020340200.0,2008-07-18
2792.829,2915.293,2780.282,2911.051,4511957700.0,2008-07-21
2905.276,2931.447,2890.252,2904.743,3881497600.0,2008-07-22
2923.049,2941.972,2879.185,2883.32,3882123300.0,2008-07-23
2905.043,2979.748,2902.976,2977.362,4853866500.0,2008-07-24
2939.321,2967.719,2916.684,2939.202,4057108100.0,2008-07-25
2959.113,2997.604,2946.492,2960.851,3930864000.0,2008-07-28
2921.248,2921.248,2881.05,2905.63,3603627500.0,2008-07-29
2940.02,2949.943,2866.031,2884.384,2981080000.0,2008-07-30
2894.246,2899.069,2804.698,2805.21,2794096600.0,2008-07-31
2786.123,2868.679,2748.755,2840.788,3403149100.0,2008-08-01
2816.936,2832.895,2767.529,2773.15,2278232400.0,2008-08-04
2780.761,2792.742,2695.372,2703.079,3046923500.0,2008-08-05
2723.523,2749.099,2679.66,2721.693,2740402200.0,2008-08-06
2717.661,2747.884,2683.409,2720.442,2337043900.0,2008-08-07
2719.375,2719.375,2581.811,2591.462,3089458100.0,2008-08-08
2579.805,2580.72,2442.794,2456.811,3212020600.0,2008-08-11
2431.383,2474.324,2413.597,2444.155,2419194400.0,2008-08-12
2427.495,2466.086,2369.58,2444.672,2755171100.0,2008-08-13
2429.977,2461.238,2410.491,2443.512,2015723600.0,2008-08-14
2440.39,2479.151,2412.949,2447.615,2042226100.0,2008-08-15
2451.311,2452.626,2312.951,2313.402,2362310600.0,2008-08-18
2285.515,2356.191,2273.893,2348.472,1947710600.0,2008-08-19
2332.386,2533.303,2312.176,2532.94,4504341500.0,2008-08-20
2494.262,2535.862,2438.86,2443.979,3751804000.0,2008-08-21
2421.249,2437.432,2362.631,2404.928,2629824100.0,2008-08-22
2408.026,2439.907,2373.765,2400.548,1864319000.0,2008-08-25
2370.528,2390.655,2306.936,2331.532,2374193700.0,2008-08-26
2322.539,2367.717,2291.35,2325.292,2386258400.0,2008-08-27
2325.262,2363.563,2316.682,2335.865,2040029100.0,2008-08-28
2347.4,2418.051,2339.518,2391.64,2887784500.0,2008-08-29
2372.638,2372.638,2297.023,2309.171,2115280300.0,2008-09-01
2292.686,2309.206,2268.004,2285.411,1844049800.0,2008-09-02
2279.598,2296.032,2219.559,2245.964,2374947400.0,2008-09-03
2238.645,2270.411,2216.112,2251.146,1898478000.0,2008-09-04
2193.038,2221.093,2172.941,2183.432,2165448000.0,2008-09-05
2189.822,2198.761,2119.124,2126.518,2218655400.0,2008-09-08
2135.223,2150.988,2111.404,2139.145,1762429800.0,2008-09-09
2124.965,2181.253,2099.234,2143.176,2205784400.0,2008-09-10
