back_test_date,cal_beta_date,sto_call_number,hold_period,Margin_ratio,beta,Hedge_return,PF_retrun,Future_return
80,30,200000,15,0.1,0.6222440509794931,8475.521791544228,-1999.9999999998859,10475.521791544114
80,30,200000,20,0.1,0.6222440509794931,12747.393765741328,-2499.999999999857,15247.393765741184
80,40,200000,5,0.1,0.4383776241675126,-7137.558452832185,-14500.0,7362.441547167817
80,40,200000,10,0.1,0.4383776241675126,-3234.6481395298842,-14249.999999999964,11015.35186047008
80,40,200000,15,0.1,0.4383776241675126,5380.117733007507,-1999.9999999998859,7380.117733007394
80,40,200000,20,0.1,0.4383776241675126,8241.952845110505,-2499.999999999857,10741.952845110365
80,50,200000,5,0.1,0.5567178951623248,-5150.063471696071,-14500.0,9349.93652830393
80,50,200000,10,0.1,0.5567178951623248,-261.04809151939935,-14249.999999999964,13988.951908480565
80,50,200000,15,0.1,0.5567178951623248,7372.3844098395,-1999.9999999998859,9372.384409839386
80,50,200000,20,0.1,0.5567178951623248,11141.748684640177,-2499.999999999857,13641.748684640035
80,60,200000,5,0.1,0.47582599162975664,-6508.6225736316555,-14500.0,7991.3774263683445
80,60,200000,10,0.1,0.47582599162975664,-2293.662739145556,-14249.999999999964,11956.337260854407
80,60,200000,15,0.1,0.47582599162975664,6010.56359872687,-1999.9999999998859,8010.563598726757
80,60,200000,20,0.1,0.47582599162975664,9159.583160229136,-2499.999999999857,11659.583160228995
80,70,200000,5,0.1,0.5077255940677998,-5972.876802450961,-14500.0,8527.123197549041
80,70,200000,10,0.1,0.5077255940677998,-1492.1041611240562,-14249.999999999964,12757.895838875906
80,70,200000,15,0.1,0.5077255940677998,6547.595620094203,-1999.9999999998859,8547.59562009409
80,70,200000,20,0.1,0.5077255940677998,9941.247201175462,-2499.999999999857,12441.247201175318
80,80,200000,5,0.1,0.47232192154262453,-6567.472546284074,-14500.0,7932.5274537159285
80,80,200000,10,0.1,0.47232192154262453,-2381.7114050116743,-14249.999999999964,11868.288594988288
80,80,200000,15,0.1,0.47232192154262453,5951.572335573661,-1999.9999999998859,7951.5723355735445
80,80,200000,20,0.1,0.47232192154262453,9073.71984612086,-2499.999999999857,11573.719846120715
80,90,200000,5,0.1,0.430001417101076,-7278.23473627782,-14500.0,7221.76526372218
80,90,200000,10,0.1,0.430001417101076,-3445.1216286094686,-14249.999999999964,10804.878371390494
80,90,200000,15,0.1,0.430001417101076,5239.10370560649,-1999.9999999998859,7239.103705606377
80,90,200000,20,0.1,0.430001417101076,8036.703269474865,-2499.999999999857,10536.703269474723
80,100,200000,5,0.1,0.4141915934360791,-7543.756734180004,-14500.0,6956.243265819998
80,100,200000,10,0.1,0.4141915934360791,-3842.3836258490473,-14249.999999999964,10407.616374150915
80,100,200000,15,0.1,0.4141915934360791,4972.944226761422,-1999.9999999998859,6972.944226761308
80,100,200000,20,0.1,0.4141915934360791,7649.301242235418,-2499.999999999857,10149.301242235275
80,110,200000,5,0.1,0.41658645534352273,-7503.535632930648,-14500.0,6996.464367069353
80,110,200000,10,0.1,0.41658645534352273,-3782.2066343389884,-14249.999999999964,10467.793365660975
80,110,200000,15,0.1,0.41658645534352273,5013.261893213475,-1999.9999999998859,7013.261893213361
80,110,200000,20,0.1,0.41658645534352273,7707.984651839555,-2499.999999999857,10207.984651839413
80,120,200000,5,0.1,0.44535439538425214,-7020.385341251153,-14500.0,7479.61465874885
80,120,200000,10,0.1,0.44535439538425214,-3059.3390325736855,-14249.999999999964,11190.660967426276
80,120,200000,15,0.1,0.44535439538425214,5497.57216073651,-1999.9999999998859,7497.572160736398
80,120,200000,20,0.1,0.44535439538425214,8412.91081214557,-2499.999999999857,10912.910812145428
80,130,200000,5,0.1,0.4646392989313722,-6696.500253872272,-14500.0,7803.499746127729
80,130,200000,10,0.1,0.4646392989313722,-2574.7568220419253,-14249.999999999964,11675.243177958037
80,130,200000,15,0.1,0.4646392989313722,5822.234850621095,-1999.9999999998859,7822.234850620979
80,130,200000,20,0.1,0.4646392989313722,8885.465780978802,-2499.999999999857,11385.465780978659
80,140,200000,5,0.1,0.4538649657096275,-6877.452460786218,-14500.0,7622.547539213784
80,140,200000,10,0.1,0.4538649657096275,-2845.489325154628,-14249.999999999964,11404.510674845333
80,140,200000,15,0.1,0.4538649657096275,5640.848202928639,-1999.9999999998859,7640.848202928524
80,140,200000,20,0.1,0.4538649657096275,8621.452808999964,-2499.999999999857,11121.45280899982
80,150,200000,5,0.1,0.4454346914943862,-7019.036788348962,-14500.0,7480.963211651041
80,150,200000,10,0.1,0.4454346914943862,-3057.321388749295,-14249.999999999964,11192.678611250667
80,150,200000,15,0.1,0.4454346914943862,5498.923951324401,-1999.9999999998859,7498.923951324288
80,150,200000,20,0.1,0.4454346914943862,8414.878378419839,-2499.999999999857,10914.878378419697
80,160,200000,5,0.1,0.44004140230562305,-7109.615718956212,-14500.0,7390.384281043791
80,160,200000,10,0.1,0.44004140230562305,-3192.841485634517,-14249.999999999964,11057.158514365445
80,160,200000,15,0.1,0.44004140230562305,5408.127553454381,-1999.9999999998859,7408.127553454267
80,160,200000,20,0.1,0.44004140230562305,8282.721865514428,-2499.999999999857,10782.721865514286
80,170,200000,5,0.1,0.4478256590943883,-6978.881091010126,-14500.0,7521.118908989874
80,170,200000,10,0.1,0.4478256590943883,-2997.2422516103443,-14249.999999999964,11252.757748389618
80,170,200000,15,0.1,0.4478256590943883,5539.176056840351,-1999.9999999998859,7539.176056840239
80,170,200000,20,0.1,0.4478256590943883,8473.466362380432,-2499.999999999857,10973.466362380292
80,180,200000,5,0.1,0.43880783444320104,-7130.333179841206,-14500.0,7369.666820158796
80,180,200000,10,0.1,0.43880783444320104,-3223.8380130557125,-14249.999999999964,11026.161986944251
80,180,200000,15,0.1,0.43880783444320104,5387.36035286193,-1999.9999999998859,7387.360352861817
80,180,200000,20,0.1,0.43880783444320104,8252.494666225812,-2499.999999999857,10752.494666225672
