,date,open,high,low,close,volume,return_rate
445,2018-11-16,3249.8,3294.6,3225.2,3259.8,36929,0.005738615327656536
446,2018-11-19,3268.6,3297.2,3253.8,3296.4,34137,0.011227682679918985
447,2018-11-20,3277.4,3281.6,3211.2,3223.4,35621,-0.022145370707438418
448,2018-11-21,3191.4,3235.6,3190.8,3222.0,31928,-0.0004343240057082866
449,2018-11-22,3232.0,3233.8,3189.2,3212.0,30915,-0.0031036623215394167
450,2018-11-23,3205.4,3209.6,3132.0,3136.2,33605,-0.023599003735990096
451,2018-11-26,3145.0,3163.8,3119.2,3130.4,31067,-0.0018493718512849076
452,2018-11-27,3141.4,3154.6,3112.6,3126.6,29699,-0.0012139023766931324
453,2018-11-28,3128.8,3179.6,3118.8,3171.4,34397,0.014328663724173282
454,2018-11-29,3192.4,3197.0,3130.2,3138.6,33092,-0.010342435517437151
455,2018-11-30,3136.6,3180.4,3131.4,3168.0,35037,0.009367233798508918
456,2018-12-03,3265.0,3286.6,3232.4,3259.2,45072,0.02878787878787873
457,2018-12-04,3252.0,3274.6,3246.0,3270.0,42703,0.0033136966126657407
458,2018-12-05,3232.4,3276.0,3231.4,3253.8,48957,-0.004954128440366917
459,2018-12-06,3220.0,3225.8,3180.6,3187.8,48560,-0.02028397565922921
460,2018-12-07,3196.8,3199.0,3179.0,3179.6,34120,-0.0025723069201330924
461,2018-12-10,3160.2,3174.8,3136.4,3148.6,39260,-0.009749654044533904
462,2018-12-11,3154.8,3166.8,3144.0,3164.6,34433,0.005081623578733405
463,2018-12-12,3180.2,3186.0,3162.0,3172.4,40437,0.002464766479175941
464,2018-12-13,3179.0,3242.6,3173.4,3222.8,50708,0.01588702559576349
465,2018-12-14,3211.0,3215.4,3166.6,3169.4,42439,-0.01656944272061564
466,2018-12-17,3172.0,3176.6,3142.2,3167.8,41877,-0.0005048274121284499
467,2018-12-18,3151.2,3176.0,3111.6,3128.4,47818,-0.012437653892291208
468,2018-12-19,3134.2,3137.8,3088.4,3091.8,37440,-0.01169927119294205
469,2018-12-20,3098.6,3103.8,3046.8,3073.2,30021,-0.0060159130603533095
470,2018-12-21,3068.0,3069.4,3004.2,3034.2,51259,-0.01269035532994924
471,2018-12-24,3020.4,3045.0,3007.2,3037.0,44877,0.0009228132621449417
472,2018-12-25,3006.8,3035.8,2953.8,3018.0,59022,-0.006256173855778729
473,2018-12-26,3017.2,3030.0,2988.6,3005.0,44096,-0.004307488402915839
474,2018-12-27,3043.8,3049.0,2988.4,2995.8,50943,-0.003061564059900106
475,2018-12-28,3002.6,3035.2,2993.0,2996.0,52740,6.676013084979574e-05
476,2019-01-02,3012.4,3015.0,2948.8,2962.2,45964,-0.011281708945260408
